complex_id;stage;camera_place;lat;lon;place_type;road_type;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg
1176;2;пр.Александровск-Грушевский- автомобильная дорога от пр-п Александровск- Грушевский до ул.Нагорная;47,718834;40,258709;0;3;1;2;1500;1500;1500;1500
1177;2;г. Ростов-на-Дону, Совхозная ул., д. 12;47,223794;39,564121;1;3;1;2;0;0;0;0
1178;2;г. Ростов-на-Дону, пр. Ленина, д. 116А;47,249017;39,738523;1;3;1;4;26000;26000;26000;26000
1179;2;г. Ростов-на-Дону, Орбитальная ул., д. 74;47,30249;39,731921;1;3;1;2;0;0;0;0
1180;2;г. Ростов-на-Дону, ул. Города Ле-Ман, д. 3;47,205033;39,621537;1;3;1;2;0;0;0;0
1181;2;г. Аксай, Садовая ул., д. 1А;47,270382;39,862252;1;3;1;2;0;0;0;0
1182;2;г. Ростов-на-Дону, пр. Стачки/Портовая ул.;47,213472;39,694776;0;3;1;6;0;0;0;0
1183;2;г. Ростов-на-Дону, Орбитальная ул./Обсерваторная ул.;47,301478;39,722865;0;3;1;2;0;0;0;0
1184;2;г. Ростов-на-Дону, ул. Доватора/пр. Солженицына;47,237867;39,589577;0;3;1;2;0;0;0;0
1185;2;г. Ростов-на-Дону, Кировский пр./ул. Суворова;47,225996;39,73019;0;3;1;4;0;0;0;0
1186;2;г. Таганрог, ул. Москатова / ул. Нестора Кукольника;47,260121;38,912008;0;3;1;2;0;0;0;0
1187;2;г. Ростов-на-Дону, Батуринская ул./Международная ул.;47,207404;39,664222;0;3;1;2;0;0;0;0
1188;2;г. Ростов-на-Дону, Береговая ул., д. 25Б;47,214228;39,716245;1;3;1;2;0;0;0;0
1189;2;город Новочеркасск, Харьковское ш./ ул. Калинина;47,486042;40,102951;0;3;1;2;0;0;0;0
1190;2;г. Ростов-на-Дону, Большая Садовая ул./пр. Кировский;47,224962;39,730653;0;3;1;5;5600;5600;5600;5600
1191;2;г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии, д. 10А/18;47,22504;39,626894;1;3;1;6;0;0;0;0
1192;2;г.Шахты, Советская ул./Комиссаровский пер.;47,7054;40,222626;0;3;1;2;0;0;0;0
1193;2;г.Шахты, Советская ул.,/просп.Карла Маркса;47,712233;40,208483;0;3;1;2;0;0;0;0
1194;2;г.Шахты, Советская ул./Донской пер.;47,713747;40,205383;0;3;1;4;0;0;0;0
1195;2;г.Шахты, просп. Ленинского Комсомола, 1Р;47,734888;40,302113;1;3;1;2;0;0;0;0
1196;2;г. Волгодонск, пер. Первомайский / ул. Максима Горького;47,519174;42,141221;0;3;1;2;3500-5000;3500;5000;4250
1197;2;г.Шахты, просп. Победа Революции, 130Г;47,70363;40,211766;1;3;1;2;0;0;0;0
2144;2;Р-260 - Волгоград - Каменск-Шахтинский - Луганск, км 315+600;48,176683;40,635119;1;1;0;2;325-11522;325;11522;5924
2145;2;г. Ростов-на-Дону (от магистрали «Дон») – г. Ставрополь (до границы Ставропольского края), км 91+450;46,568302;40,630209;0;2;0;2;4500-9908;4500;9908;7204
2146;2;г. Ростов-на-Дону (от магистрали «Дон») – г. Ставрополь (до границы Ставропольского края), км 161+150;46,109874;41,16403;0;2;0;2;4500-9908;4500;9908;7204
2147;2;г. Морозовск – г. Цимлянск – г. Волгодонск, км 14+000;47,684505;42,028248;0;2;0;2;3700;3700;3700;3700
2148;2;сл. Родионово-Несветайская – г. Новочеркасск, км 7+000;47,557793;39,768582;1;2;0;2;3250;3250;3250;3250
2149;2;г. Семикаракорск – сл. Большая Мартыновка – пос. Красноармейский, км 71+900;47,274457;41,685842;0;2;0;2;3014-3428;3014;3428;3221
2150;2;г. Семикаракорск – сл. Большая Мартыновка – пос. Красноармейский, км 6+950;47,482151;40,947299;1;2;0;4;3014-3428;3014;3428;3221
2151;2;г. Семикаракорск – сл. Большая Мартыновка – пос. Красноармейский, км 22+400;47,39178;41,090002;0;2;0;2;3014-3428;3014;3428;3221
2152;2;г. Семикаракорск – сл. Большая Мартыновка – пос. Красноармейский, км 9+000;47,477523;40,971818;1;2;0;2;3014-3428;3014;3428;3221
2153;2;с. Дубовское – с. Заветное, км 27+450;47,321791;43,116207;1;2;0;4;12275;12275;12275;12275
2154;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 42+400;47,411268;42,749909;1;2;0;2;1308-4576;1308;4576;2942
2155;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 48+500;47,373481;42,684562;1;2;0;2;1308-4576;1308;4576;2942
2156;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 77+600;47,161554;42,473769;0;2;0;2;1308-4576;1308;4576;2942
2157;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 80+180;47,145923;42,450173;0;2;0;2;1308-4576;1308;4576;2942
2158;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 78+980;47,150951;42,462184;1;2;0;2;1308-4576;1308;4576;2942
2159;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 60+400;47,28853;42,596532;1;2;0;2;1308-4576;1308;4576;2942
2160;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 221+650;46,250004;41,315065;1;1;0;2;1308-4576;1308;4576;2942
2161;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 192+120;46,460771;41,470147;0;2;0;2;1308-4576;1308;4576;2942
2162;2;г. Котельниково – пос. Зимовники – г. Сальск – с. Песчанокопское (от границы Волгоградской области), км 178+400;46,54604;41,587783;1;2;0;2;1308-4576;1308;4576;2942
2163;2;х. Усьман – пос. Весёлый – г. Сальск, км 113+200;46,757642;41,380668;1;2;0;2;393-4590;393;4590;2492
2164;2;х. Усьман – пос. Весёлый – г. Сальск, км 103+400;46,836467;41,333208;1;2;0;2;393-4590;393;4590;2492
2165;2;х. Усьман – пос. Весёлый – г. Сальск, км 74+300;46,984681;41,115213;1;2;0;2;393-4590;393;4590;2492
2166;2;х. Усьман – пос. Весёлый – г. Сальск, км 63+400;47,026037;40,985909;1;2;0;2;393-4590;393;4590;2492
2167;2;х. Усьман – пос. Весёлый – г. Сальск, км 43+400;47,091504;40,742066;1;2;0;2;393-4590;393;4590;2492
2168;2;х. Усьман – пос. Весёлый – г. Сальск, км 27+600;47,09283;40,533825;1;2;0;2;393-4590;393;4590;2492
2169;2;х. Усьман – пос. Весёлый – г. Сальск, км 82+900;46,977687;41,213533;1;2;0;2;393-4590;393;4590;2492
2170;2;ст. Егорлыкская – г. Сальск, км 25+700;46,532117;40,971872;1;2;0;2;1224-6675;1224;6675;3950
