complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
1034;"117 км 360 м а/д Р-280 ""Новороссия"" ""г. Ростов-на-Дону - г. Мариуполь - г. Мелитополь - г. Симферополь"", Неклиновский р-н, Ростовская обл.";47.160586;38.254819;линейный;1;региональная;2;нет;0;2;3350-25994;3350;25994;14672;2,938333333;0;2,938333333
1102;ул.Орская, д.50, г. Ростов-На-Дону, Ростовская обл.;47.299429;39.783768;линейный;1;муниципальная;3;да;1;2;0;0;0;0;2,583;0;2,583
709;Ленина просп., д.212, г. Ростов-На-Дону, Ростовская обл.;47.249213;39.75105;линейный;1;муниципальная;3;да;1;4;26000;26000;26000;26000;2,5666;0;2,5666
891;Космонавтов просп., д.21, г. Ростов-На-Дону, Ростовская обл.;47.290943;39.714101;линейный;1;муниципальная;3;да;1;8;0;0;0;0;2,5174;0;2,5174
733;ул.Борко, д.8, г. Ростов-На-Дону, Ростовская обл.;47.281074;39.706944;линейный;1;муниципальная;3;да;1;4;22400;22400;22400;22400;2,501;0;2,501
904;ул.Вятская, д.49, г. Ростов-На-Дону, Ростовская обл.;47.282618;39.758637;линейный;1;муниципальная;3;да;1;4;0;0;0;0;2,446333333;0;2,446333333
754;Космонавтов просп., д.2/2, г. Ростов-На-Дону, Ростовская обл.;47.280772;39.716965;линейный;1;муниципальная;3;да;1;8;0;0;0;0;2,38825;0;2,38825
896;ул.Рябышева, д.8/23, г. Ростов-На-Дону, Ростовская обл.;47.234905;39.765936;перекресток;0;муниципальная;3;да;1;2;5600;5600;5600;5600;2,378;0;2,378
740;Королева просп., д.1А, (западная сторона), г. Ростов-На-Дону, Ростовская обл.;47.285112;39.693317;линейный;1;муниципальная;3;да;1;6;33600;33600;33600;33600;2,3124;0;2,3124
1026;"81 км 480 м а/д ""г. Морозовск - г. Цимлянск - г. Волгодонск"", Цимлянский р-н, Ростовская обл.";47.648457;42.055027;линейный;1;региональная;2;да;1;2;3700;3700;3700;3700;2,2796;0,4592;2,9602
1040;"35 км 885 м а/д ""г. Ростов-на-Дону (от магистрали ""Дон"") - г. Семикаракорск - г. Волгодонск"", Багаевский р-н, Ростовская обл.";47.202974;40.307056;линейный;1;региональная;2;нет;0;2;1002;1002;1002;1002;2,173;4,264;4,3665
779;ул.Стадионная, д.48, г. Ростов-На-Дону, Ростовская обл.;47.24022;39.698385;линейный;1;муниципальная;3;да;1;4;11200;11200;11200;11200;1,968;0;8,4542
732;40-Летия Победы просп., д.65/1, г. Ростов-На-Дону, Ростовская обл.;47.237276;39.815764;линейный;1;муниципальная;3;да;1;6;33600;33600;33600;33600;1,79375;0;1,79375
1008;"44 км 980 м а/д ""ст. Мечетинская - с. Гуляй-Борисовка - пос. Нижнекугоейчкий"", Зерноградский р-н, Ростовская обл.";46.539889;40.073148;линейный;1;муниципальная;3;да;1;2;668;668;668;668;1,5826;0,3608;2,1648
